bmi_male_bin_mids,bmi_male_bin_count,bmi_female_bin_mids,bmi_female_bin_count,sbp_male_bin_mids,sbp_male_bin_count,sbp_female_bin_mids,sbp_female_bin_count
14,16,14,57,73,8,67,3
17,650,17,2516,83,55,78,40
20,7874,20,33107,94,371,89,765
23,37980,24,78636,104,3488,100,7879
26,69713,27,70543,114,14851,111,29275
29,57820,30,42351,125,33891,122,50121
32,29981,34,22196,135,50953,132,49801
35,12794,37,11075,145,43304,143,47107
38,5186,40,5249,156,31263,154,33029
41,2129,43,2399,166,19598,165,19405
44,920,47,1087,176,8800,176,9660
46,410,50,399,187,3854,187,4143
49,188,53,197,197,1620,198,1453
52,96,57,79,207,534,208,636
55,32,60,36,218,207,219,201
58,19,63,18,228,65,230,77
61,10,66,10,238,21,241,18
64,2,70,3,249,11,252,4
67,1,73,1,259,2,263,2
